"AN";"MM";"JJ";"tn";"tx";"etp";"rg";"p";"hr"
2001;8;6;17.8;28.7;6.3;27.05;0;47
2001;8;7;16.3;30.3;5.8;28.16;0;60
2001;8;8;18.6;31;4.8;20.41;0;66
2001;8;9;19.1;28.5;3.3;12.46;0.8;80
2001;8;10;13.8;29.4;5.5;29.06;0;45
2001;8;11;11.5;32.1;5.5;29.07;0;66
2001;8;12;11.7;29.9;5.2;28.43;0;69
2001;8;13;11.4;31.4;5.2;27.81;0;71
2001;8;14;14;28.4;4.8;26.18;0;45
2001;8;15;18.8;29.5;4.9;23;0;93
2001;8;16;16.3;29.3;3.2;13.35;0.4;79
2001;8;17;18.2;31.4;5.1;23.46;0;82
2001;8;18;14.7;28.2;3.6;17.95;13.2;90
2001;8;19;17.4;26.5;2.1;9.85;0;87
2001;8;20;19.5;28.7;5.6;25.33;0;93
2001;8;21;13.5;32.5;5;26.07;0;57
2001;8;22;15.1;34.6;5.2;25.63;0;51
2001;8;23;16.3;34.4;5.3;25.04;0;98
2001;8;24;16.2;33.5;5.2;24.9;0;64
2001;8;25;18.2;32.7;5;23.4;0;78
2001;8;26;18.7;31.3;4.7;22.55;0;59
2001;8;27;17.6;32.6;4.8;23.22;0;45
2001;8;28;17.7;35.4;5.1;23.3;0;85
2001;8;29;17.6;34.1;5.2;22.27;0;93
2001;8;30;21.2;30;6;21.95;0;66
2001;8;31;19;26.9;6;24.33;0;43
2001;9;1;16.1;25.8;4.7;19.74;0;57
2001;9;2;10.4;29;4.2;23.99;0;83
2001;9;3;8.7;26.8;3.7;23.44;0;66
2001;9;4;17.3;26.4;4.8;19.61;0;54
2001;9;5;9.2;26;4;23.74;0;56
2001;9;6;6.1;30.1;3.7;22.92;0;74
2001;9;7;14.4;30.6;4.5;19.86;0;74
2001;9;8;13.1;30.4;5;22.64;0;82
2001;9;9;18.1;27.1;5.3;20.56;0;53
2001;9;10;11.1;25;3.9;23.02;0;80
2001;9;11;5.7;26.2;3.5;22.45;0;48
2001;9;12;7.2;27.1;3.5;21.97;0;82
2001;9;13;7.3;28.3;3.6;21.07;0.8;50
2001;9;14;14.6;23.6;4.3;20.26;0;53
2001;9;15;9.3;26.8;4;21.94;0;75
2001;9;16;16.4;23.8;4.8;21.29;0;89
2001;9;17;7.3;22.8;3.1;19.55;0;96
2001;9;18;4.7;21;2.5;15.04;0;65
2001;9;19;8.6;21.8;2.7;18.13;0.4;76
2001;9;20;9.6;21.8;2.1;13.21;0;88
