"MM";"JJ";"tn";"tx";"etp";"rg";"p";"hr";"dh"
6;6;23.5;31.1;0;26.96;0;0;11.7
6;7;23.4;30.5;0;22.73;0;0;9.3
6;8;23.9;30.6;0;23.01;0;0;6.7
6;9;23.3;30.3;0;15.85;0;0;7
6;10;24.3;30.4;0;20.91;0;0;9.2
6;11;22.9;30.3;0;14.86;0;0;13.7
6;12;22.9;30.3;0;25.4;0;0;9
6;13;22;30.3;0;27.59;0;0;6.4
6;14;22.9;30.5;0;25.06;0;0;5.7
6;15;22.4;30.5;0;26.39;0;0;7.6
6;16;22.4;30.5;0;23.05;0;0;8.8
6;17;23.7;30.4;0;13.34;0;0;13
6;18;24.1;30;0;17.65;0;0;12.6
6;19;22.6;28.5;0;5.59;0;0;16
6;20;22.6;29.8;0;20.38;0;0;9.1
6;21;23.3;30;0;23.29;0;0;7.1
6;22;23.9;29.6;0;19.22;0;0;6
6;23;23.8;27.9;0;8.65;0;0;5.2
6;24;24.6;30.3;0;17.45;0;0;9
6;25;24.3;29.7;0;9.93;0;0;13.5
6;26;22.7;32.5;0;16.92;0;0;7.8
6;27;21.8;30.2;0;24.1;0;0;9.5
6;28;23.3;31;0;25.01;0;0;6
6;29;23.8;30.3;0;21.72;0;0;10.5
6;30;23.6;30.1;0;20.41;0;0;8.9
7;1;24.8;30.6;0;23.54;0;0;6.2
7;2;26.4;30;0;16.78;0;0;1.8
7;3;23.7;30.7;0;23.49;0;0;10.4
7;4;23.1;30.5;0;16.96;0;0;11.3
7;5;23.2;27.1;0;4.82;0;0;15.6
7;6;23.9;30.1;0;17.49;0;0;0.1
7;7;25.7;30.7;0;25.91;0;0;1.6
7;8;23.8;30.4;0;22.49;0;0;9.5
7;9;24.7;30.6;0;25.51;0;0;2.3
7;10;22.9;30.8;0;17.86;0;0;2.7
7;11;24.5;30;0;13.21;0;0;10.7
7;12;23.4;30.4;0;24.29;0;0;10.4
7;13;22.2;29.2;0;14.1;0;0;12.8
7;14;24.8;30.8;0;23.27;0;0;0.8
7;15;24.2;30.5;0;15.93;0;0;10.9
7;16;22.2;30.6;0;21.58;0;0;12.2
7;17;22.4;29.6;0;8.24;0;0;11.4
7;18;23.6;29.5;0;13.33;0;0;13.2
7;19;24;31;0;21.48;0;0;11.5
7;20;23.6;29;0;7.47;0;0;12.2
7;21;22.6;26.1;0;3.75;0;0;16.6
7;22;21.4;27.5;0;4.44;0;0;19.2
7;23;23.1;30.1;0;20.95;0;0;8.9
7;24;24.6;30.1;0;21.8;0;0;9.8
7;25;24.1;30.9;0;19.32;0;0;7.3
7;26;24.4;30.7;0;23.02;0;0;8
7;27;23.6;30.1;0;24.35;0;0;11.3
7;28;23;30;0;19;0;0;6.6
7;29;24;30.4;0;20.44;0;0;5.7
7;30;25.4;30.5;0;19.87;0;0;0.2
7;31;23.5;30.5;0;20.65;0;0;10.3
8;1;22.6;30.8;0;23.93;0;0;10.2
8;2;23.4;30.3;0;23.38;0;0;8.2
8;3;23.5;30.5;0;20.34;0;0;11.2
8;4;23.5;31.5;0;17.34;0;0;9.2
8;5;22.8;31.3;0;21.7;0;0;0
8;6;24.2;31.4;0;21.54;0;0;0
8;7;24;31.1;0;20.63;0;0;0
8;8;22.7;30.2;0;14.59;0;0;15.2
8;9;22.7;30.6;0;19.87;0;0;12.9
8;10;23.1;30.9;0;20.39;0;0;13.3
8;11;23.1;30.6;0;19.14;0;0;12.7
8;12;22;31.4;0;17.24;0;0;5.7
8;13;21.9;31.5;0;18.66;0;0;10.3
8;14;22.4;31.1;0;25.62;0;0;3
8;15;22.9;31.3;0;19.12;0;0;8.7
8;16;23.1;27.9;0;8.81;0;0;13.8
8;17;23.7;30.7;0;22.06;0;0;12
8;18;24.3;31.2;0;19.87;0;0;10
8;19;23.3;30.8;0;15.32;0;0;8.5
8;20;22.3;30.4;0;14.97;0;0;15.1
8;21;21.7;31.1;0;25.7;0;0;5.3
8;22;24.1;30.4;0;20.16;0;0;8
8;23;24;30.9;0;19.47;0;0;7.5
8;24;24.2;31.3;0;21.43;0;0;6.3
8;25;23.9;30;0;12.17;0;0;12.1
8;26;22.5;31.9;0;20.92;0;0;6.2
8;27;22.1;31.9;0;25.23;0;0;4
8;28;23.3;32.2;0;24;0;0;6.3
8;29;22.8;30.3;0;9.69;0;0;8.8
8;30;23;30.9;0;7.4;0;0;8.4
8;31;22.9;31.3;0;23.26;0;0;4.8
9;1;23.8;32.7;0;15.84;0;0;2.9
9;2;23.8;30.9;0;21.95;0;0;5.4
9;3;24.4;31.2;0;19.41;0;0;9.7
9;4;23.3;30.1;0;11.51;0;0;11
9;5;22.5;29.6;0;13.51;0;0;13.3
9;6;22.8;32;0;19.08;0;0;11.7
9;7;24.5;31.3;0;18.26;0;0;9.5
9;8;22.7;30.4;0;21.05;0;0;15.3
9;9;21.5;29.2;0;11.82;0;0;9.9
9;10;22.5;29;0;11.6;0;0;9.2
9;11;24.2;28.9;0;8.68;0;0;14.5
9;12;23.7;30.4;0;14.47;0;0;14.9
9;13;22.7;31.2;0;19.52;0;0;10
9;14;21.1;31;0;19.93;0;0;3.9
9;15;23.3;31.2;0;24.17;0;0;7.3
9;16;24.3;31;0;22.11;0;0;8.3
9;17;23.5;31;0;17.3;0;0;13.3
9;18;22.9;32.3;0;21.94;0;0;7.9
9;19;22.5;31.6;0;12.62;0;0;7.6
9;20;21;30.8;0;21.89;0;0;6
9;21;22.6;30;0;18.03;0;0;6.6
9;22;23.5;30.6;0;20.44;0;0;2.2
